match_id,match_date_utc,competition_name,competition_type,competition_stage,home_team_id,home_team_code,home_team_name,home_team_name_en,away_team_id,away_team_code,away_team_name,away_team_name_en,home_score_ft,away_score_ft,result_90m,result_final,venue,city,country,neutral_flag,source,source_match_id
19930725-alg-sen-african-cup-of-nations-qualification,1993-07-25T00:00:00Z,African Cup of Nations qualification,competitive,African Cup of Nations qualification,alg,ALG,阿尔及利亚,Algeria,sen,SEN,塞内加尔,Senegal,4,0,home,home,Tlemcen,Tlemcen,Algeria,0,martj42/international_results,1993-07-25__algeria__senegal
19930725-mex-usa-gold-cup,1993-07-25T00:00:00Z,Gold Cup,competitive,Gold Cup,mex,MEX,墨西哥,Mexico,usa,USA,美国,United States,4,0,home,home,Mexico City,Mexico City,Mexico,0,martj42/international_results,1993-07-25__mexico__united states
19930731-can-aus-fifa-world-cup-qualification,1993-07-31T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,can,CAN,加拿大,Canada,aus,AUS,澳大利亚,Australia,2,1,home,home,Edmonton,Edmonton,Canada,0,martj42/international_results,1993-07-31__canada__australia
19930801-col-par-fifa-world-cup-qualification,1993-08-01T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,col,COL,哥伦比亚,Colombia,par,PAR,巴拉圭,Paraguay,0,0,draw,draw,Barranquilla,Barranquilla,Colombia,0,martj42/international_results,1993-08-01__colombia__paraguay
19930801-uru-ecu-fifa-world-cup-qualification,1993-08-01T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,uru,URU,乌拉圭,Uruguay,ecu,ECU,厄瓜多尔,Ecuador,0,0,draw,draw,Montevideo,Montevideo,Uruguay,0,martj42/international_results,1993-08-01__uruguay__ecuador
19930808-bra-mex-friendly,1993-08-08T00:00:00Z,Friendly,friendly,Friendly,bra,BRA,巴西,Brazil,mex,MEX,墨西哥,Mexico,1,1,draw,draw,Maceió,Maceió,Brazil,0,martj42/international_results,1993-08-08__brazil__mexico
19930808-par-arg-fifa-world-cup-qualification,1993-08-08T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,par,PAR,巴拉圭,Paraguay,arg,ARG,阿根廷,Argentina,1,3,away,away,Asunción,Asunción,Paraguay,0,martj42/international_results,1993-08-08__paraguay__argentina
19930811-swe-sui-friendly,1993-08-11T00:00:00Z,Friendly,friendly,Friendly,swe,SWE,瑞典,Sweden,sui,SUI,瑞士,Switzerland,1,2,away,away,Borås,Borås,Sweden,0,martj42/international_results,1993-08-11__sweden__switzerland
19930815-aus-can-fifa-world-cup-qualification,1993-08-15T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,aus,AUS,澳大利亚,Australia,can,CAN,加拿大,Canada,2,1,home,home,Sydney,Sydney,Australia,0,martj42/international_results,1993-08-15__australia__canada
19930815-col-arg-fifa-world-cup-qualification,1993-08-15T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,col,COL,哥伦比亚,Colombia,arg,ARG,阿根廷,Argentina,2,1,home,home,Barranquilla,Barranquilla,Colombia,0,martj42/international_results,1993-08-15__colombia__argentina
19930815-uru-bra-fifa-world-cup-qualification,1993-08-15T00:00:00Z,FIFA World Cup qualification,competitive,FIFA World Cup qualification,uru,URU,乌拉圭,Uruguay,bra,BRA,巴西,Brazil,1,1,draw,draw,Montevideo,Montevideo,Uruguay,0,martj42/international_results,1993-08-15__uruguay__brazil
